"reaction_id","reaction_type","yield_pct","temperature_c","time_h","reaction_smiles","reference","reactant_cas","product_cas","reagent_cas","catalyst_cas","solvent_cas","reactant_amd","product_amd","reagent_amd","catalyst_amd","solvent_amd","experimental_procedure","stages","steps","product_yield_1","product_yield_2","product_yield_3","product_yield_4","product_yield_5","product_yield_6","product_yield_7","notes"
"31-043-CAS-13547433","C–H amination and azidation","83","","","CC(=O)OCc1ccccc1>>CC(=O)OCc1ccc(N=[N+]=[N-])cc1","Synthetic Communications (2012), 42(7), 1085-1089","98-82-8","77721-45-0","26628-22-8, 35703-63-0","","7732-18-5","","","","","","General/Typical Procedure: Preparation of Aromatic Azides Anisole (1 g, 9.25mmol) and sodium azide (0.6 g, 9.4mmol) were added to the aqueous solution of sodium dichloroiodate (6.3mL, 1.5M, 9.4mmol). The resultant reaction mixture was placed in an ultrasonic bath (33KHz) at room temperature until the starting material was completely consumed (TLC). The reaction mixture was extracted with ethyl acetate, and the organic phase was washed successively with 10% sodium bisulfate solution (2x20mL), 10% sodium bicarbonate (2x15mL), and water (2x20mL). The organic layer was dried over anhydrous sodium sulfate and concentrated under reduced pressure to give the crude product. Entry 8: isolated yield 83%.","1","1","83","","","","","","","green chemistry, regioselective, ultrasound"
"31-043-CAS-14606763","C–H amination and azidation","","","","[O-][n+]1ccc(Cl)c2ccccc21>>[N-]=[N+]=Nc1cc(Cl)c2ccccc2[n+]1[O-]","Organic Chemistry Frontiers (2015), 2(10), 1313-1317","110815-28-6","1132709-45-5","2712-78-9, 4648-54-8","","141-78-6","","","","","","","1","1","","","","","","","","regioselective"
"31-043-CAS-15076086","C–H amination and azidation","82","","","Cc1ccccc1>>Cc1ccc(N=[N+]=[N-])cc1","Synthetic Communications (2012), 42(7), 1085-1089","2021-28-5","1364201-38-6","26628-22-8, 35703-63-0","","7732-18-5","","","","","","General/Typical Procedure: Preparation of Aromatic Azides Anisole (1 g, 9.25mmol) and sodium azide (0.6 g, 9.4mmol) were added to the aqueous solution of sodium dichloroiodate (6.3mL, 1.5M, 9.4mmol). The resultant reaction mixture was placed in an ultrasonic bath (33KHz) at room temperature until the starting material was completely consumed (TLC). The reaction mixture was extracted with ethyl acetate, and the organic phase was washed successively with 10% sodium bisulfate solution (2x20mL), 10% sodium bicarbonate (2x15mL), and water (2x20mL). The organic layer was dried over anhydrous sodium sulfate and concentrated under reduced pressure to give the crude product. Entry 1: isolated yield 82%.","1","1","82","","","","","","","green chemistry, regioselective, ultrasound"
"31-043-CAS-16542484","C–H amination and azidation","13","","","COc1ccccc1N>>COc1cccc(N=[N+]=[N-])c1N","Chemical Communications (Cambridge, United Kingdom) (2017), 53(7), 1305-1308","106-48-9","1580504-28-4","75-91-2, 4648-54-8","7787-70-4","75-05-8, 7732-18-5","","","","","","","1","1","13","","","","","","","Schlenk tube used"
"31-043-CAS-16542485","C–H amination and azidation","19","","","Nc1ccccc1Oc1ccccc1>>[N-]=[N+]=Nc1cccc(Oc2ccccc2)c1N","Chemical Communications (Cambridge, United Kingdom) (2017), 53(7), 1305-1308","71026-66-9","2240155-76-2","75-91-2, 4648-54-8","7787-70-4","75-05-8, 7732-18-5","","","","","","","1","1","19","","","","","","","Schlenk tube used"
"31-043-CAS-17145223","C–H amination and azidation","67","","","Cn1cnc2cccc(F)c21>>Cn1c(N=[N+]=[N-])nc2cccc(F)c21","Zeitschrift fuer Naturforschung, B: A Journal of Chemical Sciences (2016), 71(12), 1287-1300","321-63-1","1410064-25-3","109-72-8, 941-55-9, 7722-88-5","","60-29-7, 110-54-3, 7732-18-5","","","","","","","3","1","67","","","","","","",""
"31-043-CAS-17684568","C–H amination and azidation","49","","","N#Cc1ccc(Br)cc1F>>N#Cc1ccc(Br)c(N=[N+]=[N-])c1F","Journal of the American Chemical Society (2017), 139(33), 11622-11628","1137-41-3","2133837-92-8","1145881-09-9, 160732-56-9, 67-63-0","149-11-1","109-99-9, 110-54-3","","","","","","","3","1","49","","","","","","","regioselective"
"31-043-CAS-17684570","C–H amination and azidation","52","","","CC(C)N(C(=O)c1ccccc1)C(C)C>>CC(C)N(C(=O)c1ccccc1N=[N+]=[N-])C(C)C","Journal of the American Chemical Society (2017), 139(33), 11622-11628","43192-33-2","2417678-09-0","2118975-36-1, 160732-56-9, 67-63-0","149-11-1","109-99-9, 110-54-3","","","","","","","4","1","52","","","","","","","regioselective, reaction mixture (prepared in stages 1-2) added in stage 3"
"31-043-CAS-17684589","C–H amination and azidation","53","","","CC(C)(C)OC(=O)N1CCN(c2ncccc2F)CC1>>CC(C)(C)OC(=O)N1CCN(c2nccc(N=[N+]=[N-])c2F)CC1","Journal of the American Chemical Society (2017), 139(33), 11622-11628","52988-34-8","2417678-18-1","2118975-36-1, 160732-56-9, 67-63-0","149-11-1","109-99-9, 110-54-3","","","","","","","4","1","53","","","","","","","regioselective, reaction mixture (prepared in stages 1-2) added in stage 3"
"31-043-CAS-17684593","C–H amination and azidation","64","","","CN(C(=O)OC(C)(C)C)[C@H]1CC[C@@H](c2ccc(Cl)c(Cl)c2)c2ccccc21>>CN(C(=O)OC(C)(C)C)[C@H]1CC[C@@H](c2cc(Cl)c(Cl)c(N=[N+]=[N-])c2)c2ccccc21","Journal of the American Chemical Society (2017), 139(33), 11622-11628","135-02-4","1310156-30-9","2118975-36-1, 160732-56-9, 67-63-0","149-11-1","109-99-9, 110-54-3","","","","","","","4","1","64","","","","","","","regioselective, reaction mixture (prepared in stages 1-2) added in stage 3"
